area,Source,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ITA,FAOSTAT_3,total_fertilizers,1944380,1986690,1922000,1903900,1892200,1822000,1865000,1758000,1748000,1784000,1732000,1405913,1418087,1414334,1447535,1336239,1305785,1364139,1075785,838499,864377,902647,872000,882755,851523,885372,880660,878647,872894,885051
JAM,FAOSTAT_3,total_fertilizers,19100,25700,21300,23400,23200,26518,23800,23397,23445,23043,22400,20855,12781,15146,16485,14828,8130,4527,4517,6983,7515,8541,10485,9977.51,13834.29,4569.81,6869.56,7954.3,7901.13,9340.25
JOR,FAOSTAT_3,total_fertilizers,16800,20409,15700,16300,14000,16000,19150,24021,23431,23024,20623,22000,30100,30900,9700,16700,10600,13000,15300,21200,23200,23200,23500,30261,21985,40322,26653,25032,22923,22923
JPN,FAOSTAT_3,total_fertilizers,1838000,1752000,1784000,1817100,1763500,1641100,1563000,1509700,1418600,1438700,1452300,1354000,1473933,1473746,1548781,1517146,1445470,1516154,1198609,1025957,1112611,1122533,1049400,1036800,1069000,947500,987500,1012100,977500,977500
KAZ,FAOSTAT_3,total_fertilizers,,,475000,324000,121000,95000,131000,56100,13000,34200,37000,50400,23700,33740,42100,40800,41400,58900,30900,56400,58688,87412,129657,84909,116487,127150,113833.63,158207.68,120589.87,85708.02
KEN,FAOSTAT_3,total_fertilizers,106700,112700,101900,100000,129800,78400,160800,134400,127100,148100,145705,149990,139051,170316,145546,180695,176052,192895,176424,187236.79,180358.87,229620.78,278882.69,328144.6,276838.41,225532.22,280616.77,365890.35,279114.16,332267.91
KGZ,FAOSTAT_3,total_fertilizers,,,32000,28000,28000,28000,31000,31000,29078,28071,29199,27618,9483,33211,28924,31623,28494,28742,24277,28159,28918,24457,31042,35075,40980,13322.83,16346.54,9903.63,27344,29185
KHM,FAOSTAT_3,total_fertilizers,4100,5700,11000,14600,10600,9800,7800,21900,7620,,,,25667.92,20289.86,25205.45,38693.34,38182.21,37586.1,36516.96,49037.24,58570.66,76246.26,103569.46,94065.62,105371.25,116937.61,84569.72,159147.83,170073.82,173645.77
KNA,FAOSTAT_3,total_fertilizers,882,1100,1100,1100,1590,1327,1327,1700,1700,1700,1700,1700,55,55,55,55,90,50,82,51,51,52,52,0.03,115.24,26.38,37.55,26.17,25.88,22.17
KOR,FAOSTAT_3,total_fertilizers,957702,927700,963700,973700,960000,979029,908907,992000,867000,821085,783337,716603,699681.65,708470.37,749133.14,785603.77,540323.95,648781.24,476511.63,520105.65,497735.13,501930.49,535549.04,515596.09,510582.24,494726.83,498971.72,493621.75,504709.95,499948.36
KWT,FAOSTAT_3,total_fertilizers,,,800,1000,1000,1000,2000,1200,1000,1100,629,1046,1000,1000,1000,1000,3488.16,3326.44,6028.93,1000,2283.96,4636.3,4686.08,5735.87,7382.93,9343.77,8405.79,9869.5,8975.84,8215.21
LBN,FAOSTAT_3,total_fertilizers,25400,29700,34000,36200,28000,44000,56000,62242,63700,63700,52257,58577,34242.03,31871.56,34697.01,21985.32,15438.04,23217.73,20099.33,20564.6,25513.04,42548.58,31741.26,27595.03,29128.9,35320.82,35365.44,40251.71,37700.16,37700.16
LBY,FAOSTAT_3,total_fertilizers,77600,84800,86100,110900,74500,89000,62400,61700,50500,86500,55000,73200,65334.9,35477.99,50447.4,52465.53,55061.22,53276.21,51485.73,58605.18,66161.9,31938.45,42827.22,62277.86,39417.33,31378,26902.23,44808.83,28193.12,32040.94
LCA,FAOSTAT_3,total_fertilizers,5721,6500,2882.47,1866.35,634.55,199.73,225.77,85.36,1242.65,2219.12,2122.87,40.57,499.63,1359.6,493.65,622.97,520.93,115.55,18,264,358,252,785.53,336.65,721.2,702.97,512.68,393.82,399.67,640.21
LKA,FAOSTAT_3,total_fertilizers,171143,177194,183657,210503,217503,206043,211170,208713,232924,259081,246965,244068,285071,246225,258309,280821,305881,288525,374054,309514,274857,334509,267611.82,226181.39,339708.97,399291.2,165404.32,154983.06,189687.24,259524.54
LTU,FAOSTAT_3,total_fertilizers,,,156000,87000,79000,118000,119000,137300,139800,154000,153000,162000,189000,190000,193000,195000,217000,219000,169300,210400,221200,229000,242000,251121,262640,266236,282534,296851,282388,303215
LUX,FAOSTAT_3,total_fertilizers,,,,,,,,,,,,,16583,16583,20684,18789,17618,16861,15532,15108,15995,16810,16173,15462,15074,15240,16214,15647.15,14577,15222
LVA,FAOSTAT_3,total_fertilizers,,,168000,95300,95300,22000,25000,35100,49200,54477,50289,65365,49229,47366,64706,74300,75500,80457,78328,75784,91081,96383,107864,121593,122259,128833,134200,133495,130993,139247
MAR,FAOSTAT_3,total_fertilizers,350000,288700,290930,334400,295100,282200,290000,327327,325000,364533,367416,360200,550787,500843,401942,518080,485200,474460,433412,330149,441892,461361,458620,516874,542343,578088.5,320546.05,508539.2,496630.39,450382.43
MDA,FAOSTAT_3,total_fertilizers,,,134800,115000,115000,115000,116000,10200,7000,3200,5100,32471,15000,13900,15300,16500,15398,20083,22677,17015,20051,23629,34700,44800,44813,52340.7,72855.65,84476.87,99928.6,86500.21
