area,short names,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
DZA,employment_agri_total,24.88,24.73,24.56,24.36,24.13,23.87,23.54,23.18,22.85,22.34,21.71,21.72,21.72,20.1,18.54,17.06,15.63,14.33,13.03,11.87,10.77,10.69,10.59,10.49,10.38,10.28,10.16,9.88,9.6,,
ECU,employment_agri_total,29.73,29.79,29.55,29.42,29.34,29.37,29.11,29.08,29.54,29.83,29.65,29.71,29.8,30.44,30.35,29.62,28.49,27.96,28.54,27.88,27.91,27.98,26.65,25.28,26.19,26.94,27.69,28.83,29.74,,
EGY,employment_agri_total,39.02,38.46,35.29,35.18,33.99,32.72,31.38,29.8,28.7,29.63,28.54,27.52,29.87,31.83,30.94,31.23,31.76,31.69,29.96,28.28,29.24,27.07,27.96,27.55,25.82,25.57,25.05,21.66,20.62,,
ERI,employment_agri_total,71.82,71.4,70.89,70.27,69.84,69.23,68.62,68.25,68.0,67.97,67.53,67.45,67.76,67.83,67.79,67.86,67.72,68.06,67.68,67.31,66.54,66.1,66.34,64.94,65.48,64.66,64.89,63.76,63.12,,
ESP,employment_agri_total,10.22,9.96,9.78,9.49,8.99,8.36,8.04,7.7,7.21,6.69,6.56,6.01,5.71,5.48,5.3,4.81,4.52,4.05,4.13,4.2,4.1,4.22,4.3,4.24,4.12,4.22,4.35,4.2,4.03,,
EST,employment_agri_total,19.25,18.09,16.0,14.15,10.18,9.72,9.69,9.3,8.58,6.36,6.34,6.6,6.24,5.06,5.19,5.06,4.78,3.9,4.05,4.22,4.41,4.49,4.26,3.86,3.9,3.89,3.53,3.29,3.17,,
ETH,employment_agri_total,76.85,77.05,76.8,76.76,76.61,76.28,76.24,76.46,76.36,76.7,76.92,77.41,78.01,77.92,78.12,77.43,76.65,75.83,75.04,74.04,73.04,72.11,71.03,70.21,69.4,68.64,67.9,67.29,66.63,,
EUU,employment_agri_total,10.706,10.726,10.591,10.543,10.254,9.786,9.877,9.575,9.309,8.979,8.672,7.963,7.724,7.125,6.924,6.594,6.251,5.756,5.753,5.797,5.588,5.565,5.423,5.276,5.058,4.792,4.673,4.5,4.355,,
FIN,employment_agri_total,8.43,8.37,8.28,8.04,7.76,7.89,7.78,7.11,6.38,6.21,5.84,5.53,5.28,5.01,4.83,4.67,4.54,4.52,4.63,4.44,4.23,4.16,4.13,4.26,4.22,3.87,3.76,3.71,3.78,,
FJI,employment_agri_total,34.41,34.09,33.82,33.58,33.18,32.79,32.4,32.03,31.74,31.08,30.29,29.84,29.34,28.75,28.25,27.57,27.07,26.11,25.36,24.44,23.72,22.97,22.09,20.85,19.88,19.09,18.48,17.98,17.61,,
FRA,employment_agri_total,6.03,5.73,5.46,5.19,4.89,4.82,4.64,4.41,4.24,4.14,4.07,4.13,4.25,3.87,3.64,3.73,3.45,2.74,2.93,2.91,2.91,2.92,3.08,2.85,2.71,2.86,2.61,2.5,2.53,,
FSM,employment_agri_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,employment_agri_total,44.24,44.02,43.52,42.97,42.36,41.8,41.15,40.57,40.47,40.11,39.57,39.12,38.57,38.1,37.55,37.23,36.56,36.29,35.87,35.18,34.51,33.91,33.3,32.72,32.14,31.6,31.11,30.59,29.96,,
GBR,employment_agri_total,2.16,2.11,2.05,2.08,2.05,1.95,1.85,1.72,1.55,1.54,1.39,1.39,1.25,1.28,1.38,1.35,1.37,1.08,1.11,1.22,1.22,1.19,1.06,1.26,1.14,1.13,1.16,1.07,1.05,,
GEO,employment_agri_total,47.04,47.73,48.45,48.59,48.54,48.72,48.32,48.55,52.25,52.17,52.79,53.77,54.9,54.0,54.34,55.3,53.43,51.31,49.35,48.09,48.62,47.13,47.33,46.06,44.05,43.81,43.13,38.9,38.15,,
GHA,employment_agri_total,57.12,56.94,56.68,56.49,56.24,55.97,55.66,55.3,54.95,55.03,55.1,55.12,55.1,55.05,54.96,54.93,53.94,52.63,51.51,50.11,48.36,46.85,45.38,40.41,35.18,33.89,32.57,31.05,29.75,,
GIN,employment_agri_total,73.44,73.34,73.16,73.0,72.79,72.57,72.29,72.03,71.7,71.42,70.99,70.45,70.07,69.69,69.26,68.93,68.28,67.76,67.59,67.03,66.38,65.7,65.12,64.55,63.98,62.99,62.03,61.32,60.65,,
GMB,employment_agri_total,37.7,37.57,37.43,37.35,37.22,37.03,36.69,36.38,35.88,35.37,34.79,34.77,34.14,33.48,33.39,33.19,32.76,32.14,31.49,30.89,31.11,30.54,30.11,29.92,29.39,28.99,28.41,27.71,27.03,,
GNB,employment_agri_total,68.6,68.54,68.43,68.27,68.11,67.77,67.45,67.99,67.92,67.68,67.51,67.47,67.32,67.05,66.69,66.41,66.08,65.69,65.32,64.87,64.22,64.09,63.68,63.4,62.82,62.18,61.57,61.06,60.48,,
GNQ,employment_agri_total,54.79,54.14,53.65,52.95,52.12,50.71,49.2,48.11,46.91,45.64,44.07,42.77,41.58,40.37,39.41,38.72,37.89,37.21,37.1,37.19,37.11,37.21,37.52,37.81,38.36,38.86,39.19,39.15,39.51,,
GRC,employment_agri_total,21.96,21.59,21.28,20.81,20.43,20.28,19.84,17.89,17.43,17.4,15.87,15.23,15.03,12.37,12.16,11.72,11.33,11.14,11.7,12.4,12.35,13.0,13.69,13.57,12.9,12.37,12.08,12.27,11.6,,
GRD,employment_agri_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,employment_agri_total,39.58,39.37,39.13,38.85,38.58,38.48,38.05,37.56,38.66,39.77,37.19,35.49,33.52,36.16,34.76,33.23,33.03,33.04,33.46,33.5,32.91,32.26,30.88,31.53,31.88,29.38,31.78,31.74,31.3,,
GUY,employment_agri_total,32.45,31.75,31.58,30.83,30.1,29.27,28.29,27.37,25.76,24.66,23.38,22.18,21.73,21.42,21.64,21.98,21.29,20.8,20.38,20.05,19.41,18.93,18.04,17.43,16.92,16.68,16.25,15.89,15.44,,
HND,employment_agri_total,38.05,38.23,37.46,37.21,37.25,38.29,37.0,34.59,35.07,35.94,36.94,38.83,37.36,34.93,33.11,35.62,33.99,34.27,35.5,36.45,35.3,37.01,34.52,28.83,28.72,27.35,31.99,30.67,29.49,,
HRV,employment_agri_total,22.36,22.58,22.48,21.25,20.55,19.89,17.77,17.21,16.85,16.52,16.01,15.55,16.87,16.97,17.3,14.25,12.35,12.82,13.32,14.25,14.59,12.25,10.79,9.52,9.23,7.6,6.98,6.24,6.19,,
HTI,employment_agri_total,40.18,40.36,40.25,40.53,39.73,38.96,38.71,38.25,38.06,37.75,37.42,36.96,36.47,36.28,35.72,35.32,34.85,34.44,33.96,34.02,33.04,32.06,31.48,30.89,30.41,30.05,29.7,29.22,29.03,,
HUN,employment_agri_total,11.58,11.26,9.13,8.75,8.09,8.22,7.81,7.34,6.95,6.46,6.19,6.12,5.38,5.26,4.87,4.76,4.59,4.32,4.61,4.54,4.89,5.06,4.78,4.68,4.9,5.04,5.04,4.85,4.72,,
IDN,employment_agri_total,55.51,55.2,52.11,47.79,43.98,43.42,43.09,44.91,45.22,45.28,43.77,44.34,46.38,43.33,44.0,42.06,41.26,41.1,40.45,39.13,37.19,35.93,34.98,34.28,33.04,31.82,30.79,29.63,28.5,,
IND,employment_agri_total,63.32,62.99,62.66,62.18,61.76,61.35,61.12,60.72,60.09,59.65,59.1,58.6,57.76,56.78,56.0,55.08,54.11,53.51,52.5,51.52,49.26,47.0,46.5,45.89,45.26,44.56,43.93,43.33,42.6,,
IRL,employment_agri_total,13.85,13.51,13.13,12.58,12.01,11.24,10.91,9.1,8.64,7.95,7.11,7.03,6.5,6.38,5.91,5.71,5.44,5.29,5.59,5.75,5.73,5.79,5.78,5.44,5.34,5.29,5.05,4.77,4.43,,
IRN,employment_agri_total,24.96,24.71,24.54,24.29,23.99,23.51,23.85,24.12,24.29,24.4,24.47,24.5,24.53,24.65,24.75,23.18,22.81,21.21,20.86,19.22,18.81,18.49,18.24,17.89,18.03,17.98,17.58,17.69,17.37,,
IRQ,employment_agri_total,31.54,31.42,31.25,31.06,30.83,30.52,30.11,29.63,29.15,28.71,28.19,27.75,27.34,26.76,26.14,25.53,24.94,24.32,23.76,23.08,22.57,21.89,21.31,20.82,20.39,19.76,19.29,18.82,18.27,,
ISL,employment_agri_total,10.17,10.45,9.76,9.06,9.57,9.98,9.09,8.65,8.92,8.71,7.71,7.37,6.98,6.32,6.53,6.31,5.92,4.6,4.83,5.59,5.49,5.55,4.45,4.54,4.24,3.9,3.76,4.03,4.04,,
ISR,employment_agri_total,3.5,3.51,4.17,3.31,3.13,2.96,2.8,2.64,2.49,2.35,2.21,2.08,1.96,1.85,1.74,1.63,1.53,1.44,1.35,1.26,1.18,1.11,1.24,1.11,1.02,1.02,1.0,0.96,0.92,,
ITA,employment_agri_total,8.31,8.01,7.09,6.9,6.58,6.13,5.88,5.77,5.42,5.23,5.21,4.93,4.72,4.14,4.2,4.27,3.97,3.7,3.69,3.77,3.68,3.69,3.6,3.64,3.75,3.88,3.78,3.76,3.89,,
JAM,employment_agri_total,27.91,27.47,24.63,23.95,23.2,22.66,21.25,21.0,20.6,20.86,20.77,20.13,20.39,18.49,18.11,18.28,18.4,18.15,18.02,17.82,17.59,18.24,18.25,18.42,17.75,16.63,16.78,16.23,15.22,,
JOR,employment_agri_total,4.85,4.81,4.77,4.71,4.65,4.58,4.5,4.41,4.3,4.19,4.06,3.93,4.03,4.11,3.98,3.85,3.72,3.6,3.48,3.38,3.28,3.18,3.08,2.98,2.88,2.78,2.68,2.58,2.47,,
JPN,employment_agri_total,6.73,6.42,5.97,5.81,5.7,5.52,5.37,5.3,5.21,5.09,4.91,4.72,4.64,4.56,4.46,4.39,4.31,4.25,4.21,4.07,3.97,3.87,3.75,3.69,3.63,3.5,3.44,3.49,3.38,,
KAZ,employment_agri_total,36.9,36.91,37.26,37.62,37.62,37.58,37.45,37.45,37.15,36.44,35.52,35.48,35.25,33.5,32.41,31.54,31.22,30.16,29.02,28.28,26.45,25.54,24.19,20.97,18.01,17.26,16.56,15.77,14.86,,
KEN,employment_agri_total,44.48,44.51,44.53,44.46,44.4,44.45,44.8,45.07,45.66,48.73,51.5,54.28,56.76,58.93,61.06,61.14,60.97,61.11,60.94,60.32,59.74,59.22,58.59,57.94,57.26,56.53,55.86,55.08,54.34,,
KGZ,employment_agri_total,35.5,38.16,38.98,41.98,47.19,47.15,48.29,49.0,52.39,53.08,52.92,49.11,43.24,38.91,38.5,36.27,34.49,34.02,33.01,32.24,31.11,30.09,31.67,31.59,29.31,26.79,23.03,20.43,19.32,,
KHM,employment_agri_total,78.13,77.76,77.69,78.83,78.37,77.75,77.3,76.75,75.38,73.48,68.93,67.25,65.99,63.87,62.03,60.08,58.13,58.11,58.04,57.31,56.55,53.21,49.52,46.0,42.47,37.54,38.21,36.38,34.53,,
KIR,employment_agri_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNA,employment_agri_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,employment_agri_total,14.61,14.03,13.48,12.56,11.77,11.14,10.77,12.02,11.34,10.6,9.96,9.33,8.81,8.4,7.96,7.65,7.3,7.14,7.01,6.6,6.37,6.13,6.76,5.58,5.23,4.94,4.92,5.0,5.14,,
KWT,employment_agri_total,2.33,2.27,2.19,2.13,2.07,2.12,2.19,2.27,2.34,2.4,2.47,2.53,2.59,2.64,2.71,2.65,2.59,2.51,2.48,2.42,2.36,2.29,2.22,2.15,2.08,2.01,1.93,1.86,1.78,,
LAO,employment_agri_total,86.82,86.65,86.34,85.96,85.41,84.67,84.1,83.28,82.62,81.87,81.05,80.3,79.37,78.3,77.21,76.48,75.06,73.79,72.66,71.46,70.31,69.04,67.77,66.7,65.58,64.71,63.58,62.37,61.44,,
LBN,employment_agri_total,21.03,20.81,20.62,20.44,20.22,20.01,19.77,19.43,19.13,18.78,18.4,18.05,17.69,17.27,16.86,16.42,15.87,15.34,14.82,14.45,14.09,13.76,13.41,13.11,12.81,12.45,12.08,11.69,11.32,,
LBR,employment_agri_total,54.82,55.5,56.22,56.82,57.13,56.78,55.17,54.22,53.27,51.95,51.43,50.81,51.91,51.34,50.68,49.91,49.11,48.48,47.96,47.31,46.44,45.56,44.6,44.22,43.91,43.74,43.22,42.78,42.62,,
LBY,employment_agri_total,29.23,29.09,28.89,28.68,28.53,28.2,27.9,27.55,27.06,26.54,26.05,25.52,24.89,24.32,23.64,23.03,22.41,21.76,21.07,20.56,20.44,20.02,19.63,19.22,18.75,18.23,17.58,16.96,16.41,,
LCA,employment_agri_total,24.48,24.19,23.96,27.42,24.4,25.21,20.49,23.14,21.71,21.07,20.67,20.36,19.8,19.0,17.78,17.01,16.53,15.84,15.35,14.76,13.97,13.32,12.77,12.05,11.47,10.84,10.35,11.35,9.97,,
LIE,employment_agri_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,employment_agri_total,42.84,45.01,40.65,43.92,39.57,36.48,38.71,42.66,41.95,41.02,40.76,40.0,39.15,38.28,37.33,36.22,35.26,34.33,33.49,31.82,31.42,30.99,30.22,28.87,28.66,27.1,26.07,25.5,24.98,,
LSO,employment_agri_total,61.26,61.02,60.83,60.57,60.34,60.0,59.66,59.36,59.07,58.47,57.66,56.99,56.21,55.49,54.76,53.87,53.04,52.07,51.42,50.85,49.96,49.02,48.21,47.46,46.69,45.84,45.43,44.91,44.3,,
LTU,employment_agri_total,23.29,23.41,23.4,22.96,22.31,21.7,20.66,19.56,19.99,19.24,17.57,18.64,18.71,16.28,14.27,13.83,11.33,8.07,8.98,8.83,8.49,8.8,8.42,9.17,9.07,7.98,7.78,7.18,6.44,,
LUX,employment_agri_total,3.53,3.38,3.2,3.16,3.87,2.65,2.34,2.92,1.95,2.44,1.53,1.97,2.72,1.96,1.74,1.83,1.85,1.67,1.36,1.1,1.23,1.33,1.59,1.43,1.05,1.03,1.39,1.05,0.68,,
LVA,employment_agri_total,18.75,19.03,18.65,18.28,17.46,17.28,21.59,19.03,17.49,14.93,15.47,16.23,14.24,13.3,12.05,11.46,10.18,7.96,8.75,8.61,8.9,8.37,8.06,7.5,7.94,7.69,6.87,6.97,7.29,,
MAR,employment_agri_total,46.93,46.92,46.9,46.64,46.68,46.3,46.2,45.82,45.64,45.43,44.84,44.38,43.9,45.83,45.48,43.4,42.74,41.98,41.3,40.57,39.78,39.22,38.4,37.57,36.69,35.96,35.03,34.15,33.25,,
MCO,employment_agri_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,employment_agri_total,43.03,41.16,44.16,46.55,45.05,42.83,41.56,45.68,48.91,50.87,51.03,49.65,43.0,40.49,40.65,33.6,32.76,31.06,28.17,27.52,27.53,26.45,28.81,30.48,34.15,33.7,32.34,24.46,20.96,,
MDG,employment_agri_total,76.26,76.29,76.31,76.38,76.42,76.49,76.57,76.63,76.69,77.0,77.45,78.06,77.98,80.27,81.96,80.43,78.75,76.88,75.29,73.37,71.24,68.87,67.98,67.2,66.49,65.79,65.25,64.68,64.12,,
MDV,employment_agri_total,21.76,21.58,21.4,21.14,20.87,20.53,20.1,19.68,19.28,18.96,18.99,18.5,17.79,17.22,17.23,16.18,15.42,14.61,14.02,13.21,12.43,11.82,11.11,10.41,9.83,9.24,8.96,8.61,8.32,,
MEX,employment_agri_total,21.09,20.92,20.74,20.49,20.41,20.07,19.75,19.33,18.37,17.41,17.46,16.84,16.17,15.51,14.88,14.25,13.79,13.74,13.81,13.92,13.69,13.72,13.65,13.77,13.43,13.1,13.12,12.81,12.48,,
MHL,employment_agri_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKD,employment_agri_total,26.35,26.46,26.61,26.62,26.49,26.32,26.07,25.7,25.16,24.59,24.4,23.92,22.04,21.41,20.8,20.12,18.25,18.25,18.53,18.62,18.74,17.31,18.74,18.46,17.87,16.63,16.24,15.72,13.92,,
MLI,employment_agri_total,74.25,74.28,74.19,74.07,73.99,73.74,73.49,73.13,72.8,72.64,71.83,71.55,70.99,70.8,70.38,69.97,69.72,69.39,68.99,68.58,68.09,67.96,67.7,66.7,62.27,64.9,63.13,63.0,62.44,,
MLT,employment_agri_total,2.49,2.45,2.41,2.36,2.3,2.25,2.22,2.17,2.11,2.04,2.35,2.34,2.46,2.26,2.1,2.03,1.82,1.79,1.46,1.34,1.17,1.04,1.26,1.29,1.47,1.17,1.0,1.0,1.02,,
MMR,employment_agri_total,70.05,69.06,68.89,68.68,66.65,65.14,63.35,62.76,62.35,61.1,60.49,59.34,57.83,56.85,56.1,55.13,54.7,53.89,53.29,53.14,52.8,52.6,52.4,52.2,51.69,51.2,50.62,48.17,48.85,,
MNE,employment_agri_total,11.22,11.42,11.79,11.7,11.37,10.93,10.62,10.35,10.44,10.11,9.83,9.61,9.35,9.0,8.63,8.69,8.65,7.61,6.97,6.18,5.47,5.28,4.56,5.68,7.72,7.74,7.94,8.02,7.15,,
MNG,employment_agri_total,44.1,44.62,44.75,44.7,46.14,46.53,48.95,49.74,49.49,48.64,48.35,44.95,46.7,40.17,39.88,38.76,41.58,40.59,40.01,33.53,33.03,35.02,29.82,27.98,28.45,30.36,28.78,26.66,25.32,,
MOZ,employment_agri_total,84.43,84.54,84.36,84.23,84.16,83.82,83.42,82.97,82.41,82.22,81.52,80.95,80.47,79.98,79.51,78.86,78.26,77.65,77.05,76.39,75.63,74.85,74.02,73.12,72.12,71.56,71.06,70.59,70.22,,
MRT,employment_agri_total,42.59,42.48,42.26,42.26,41.9,41.6,41.61,41.37,41.0,41.04,40.82,40.45,39.79,39.19,38.41,37.32,37.07,36.75,36.4,35.94,35.37,34.77,34.21,33.61,32.97,32.55,31.98,31.52,30.83,,
MUS,employment_agri_total,14.82,14.41,14.09,13.79,14.49,13.04,12.54,11.9,11.2,11.43,11.74,10.8,12.77,10.07,10.02,9.72,9.43,9.14,9.04,8.63,7.73,7.66,7.41,7.15,6.91,6.67,6.43,6.2,5.97,,
MWI,employment_agri_total,81.48,81.51,81.38,81.44,81.18,81.03,80.93,80.83,80.75,80.72,80.91,80.84,80.58,80.38,80.23,79.96,79.52,79.21,78.85,78.51,78.23,78.08,77.79,77.49,77.29,77.11,76.86,76.64,76.36,,
MYS,employment_agri_total,22.49,21.79,21.11,20.56,19.97,19.36,17.29,18.8,18.37,18.36,15.13,14.93,14.27,14.56,14.64,14.63,14.73,13.96,13.5,13.3,11.88,13.26,12.69,12.59,12.47,11.37,11.29,10.63,10.28,,
NAM,employment_agri_total,48.28,46.58,45.19,43.62,41.9,40.21,38.49,36.12,33.71,31.28,31.14,30.79,30.41,29.97,29.74,29.29,28.92,28.68,28.52,28.11,27.73,27.37,31.39,29.32,24.48,20.07,21.35,22.59,21.85,,
NER,employment_agri_total,76.46,76.48,76.53,76.56,76.57,76.62,76.65,76.46,76.53,76.65,76.46,76.35,76.32,76.35,76.13,75.94,75.84,75.55,75.48,75.14,75.04,74.55,74.27,73.97,73.77,73.48,73.22,72.86,72.54,,
NGA,employment_agri_total,50.57,50.41,50.36,50.28,50.18,49.93,49.67,49.42,49.21,48.75,48.13,47.1,46.37,45.56,44.95,44.34,43.66,42.95,42.16,41.36,40.58,39.47,38.27,37.51,36.94,36.55,36.05,35.53,34.97,,
NIC,employment_agri_total,34.78,34.76,34.72,34.5,34.26,33.99,33.49,33.05,32.15,31.85,31.23,30.93,30.53,30.31,28.89,29.16,29.61,28.16,28.66,29.47,30.27,30.51,30.88,31.44,30.98,30.37,29.92,30.33,30.6,,
NLD,employment_agri_total,4.25,4.17,4.08,3.99,3.83,3.78,3.71,3.49,3.21,3.28,3.12,2.94,3.04,3.31,3.7,3.65,3.34,3.17,3.13,3.06,2.78,2.73,2.1,2.29,2.32,2.26,2.27,2.1,2.08,,
NOR,employment_agri_total,5.78,5.51,5.51,5.26,5.46,5.38,5.09,4.74,4.6,4.29,4.09,3.95,3.83,3.59,3.3,3.25,2.86,2.64,2.7,2.55,2.37,2.23,2.21,2.25,2.01,2.09,2.06,2.11,2.04,,
NPL,employment_agri_total,82.33,82.1,81.75,81.15,80.52,79.68,78.66,77.52,76.11,75.25,74.59,74.19,73.61,73.08,72.64,72.21,71.78,71.13,70.61,70.04,69.54,68.86,68.24,67.48,66.93,66.66,65.81,65.08,64.38,,
NRU,employment_agri_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,employment_agri_total,10.99,10.81,10.62,10.37,9.78,9.2,8.64,8.54,9.42,8.71,9.13,8.82,7.87,7.32,6.91,6.97,6.92,6.65,6.49,6.74,6.91,6.75,6.45,6.25,6.14,6.61,6.34,5.91,5.84,,
OMN,employment_agri_total,9.9,9.68,9.43,8.69,7.97,7.3,7.08,6.85,6.63,6.39,6.7,7.01,7.33,7.64,7.93,8.21,8.43,8.61,6.79,5.15,5.09,5.03,4.86,4.68,4.57,4.47,4.32,4.14,3.99,,
PAK,employment_agri_total,44.81,44.55,44.46,44.3,44.05,43.76,43.7,43.53,43.27,43.01,42.75,42.51,42.09,42.57,43.07,43.39,43.64,44.7,43.31,43.39,43.49,42.89,42.24,42.23,41.01,42.27,39.86,37.42,36.92,,
PAN,employment_agri_total,27.3,24.99,23.09,19.91,20.8,20.15,18.65,17.76,17.44,16.97,18.06,17.35,17.48,16.01,15.68,15.95,14.74,17.9,18.04,17.42,16.55,16.71,16.36,15.7,14.67,15.36,14.49,14.21,14.41,,
PER,employment_agri_total,37.1,37.12,36.85,36.2,35.75,35.53,35.11,35.08,35.07,34.8,34.66,34.21,35.98,34.25,34.82,33.08,29.43,28.92,28.52,27.73,28.28,27.44,27.41,28.03,28.26,28.38,27.69,27.79,27.37,,
PHL,employment_agri_total,44.91,45.27,45.69,45.09,43.41,42.84,39.51,37.89,38.84,37.11,37.03,37.0,36.42,35.97,35.39,34.81,34.22,34.03,33.76,32.92,32.68,32.16,31.05,30.42,29.19,26.9,25.44,24.29,22.86,,
PLW,employment_agri_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNG,employment_agri_total,73.85,73.63,73.36,73.16,73.24,72.67,72.68,72.61,72.81,73.32,72.77,72.51,72.12,71.44,70.83,70.02,68.87,68.5,67.21,65.43,64.55,63.17,62.19,61.36,59.8,59.0,58.15,57.32,56.15,,
POL,employment_agri_total,25.57,25.13,24.5,23.71,22.88,21.98,21.07,20.26,19.45,18.67,19.2,19.63,18.2,17.61,17.38,15.79,14.75,13.97,13.29,13.05,12.91,12.58,12.0,11.49,11.53,10.58,10.22,9.62,9.15,,
PRK,employment_agri_total,48.05,48.6,49.04,49.37,49.84,50.22,50.87,50.99,50.34,50.22,49.7,49.44,49.11,48.73,48.16,48.12,48.03,47.5,47.33,47.09,46.73,46.32,45.92,45.51,45.27,44.64,44.59,44.54,43.82,,
PRT,employment_agri_total,11.73,11.54,11.56,11.76,11.48,12.2,13.29,13.93,12.79,12.68,13.17,12.63,12.97,12.3,12.05,11.91,11.84,11.44,11.45,11.2,10.21,10.81,10.23,8.65,7.53,6.91,6.4,6.04,5.5,,
PRY,employment_agri_total,35.31,35.22,34.95,34.67,34.26,34.12,33.84,33.79,33.75,33.9,34.01,33.83,31.33,32.75,32.02,30.31,28.67,25.3,27.96,25.62,25.52,26.14,22.82,22.08,19.7,21.32,20.18,20.08,18.72,,
PSE,employment_agri_total,15.51,15.27,15.11,14.76,14.69,14.69,14.3,14.02,13.7,14.06,12.24,15.39,16.24,16.36,15.03,16.74,16.06,13.37,12.6,11.81,11.62,11.48,10.55,10.4,8.66,7.36,6.71,6.32,6.05,,
QAT,employment_agri_total,4.42,4.35,4.27,4.14,4.0,3.87,3.69,3.3,2.93,2.6,2.29,2.44,2.6,2.75,2.86,2.97,2.35,1.57,1.57,1.46,1.36,1.35,1.38,1.31,1.23,1.22,1.25,1.21,1.17,,
ROU,employment_agri_total,29.78,32.98,35.99,39.04,40.33,37.96,40.87,41.98,44.01,45.21,44.43,37.71,37.68,32.57,32.29,30.6,29.53,28.7,29.09,31.01,29.26,29.71,29.25,28.35,25.59,23.1,22.78,22.31,21.24,,
RUS,employment_agri_total,14.24,15.42,15.56,16.15,15.78,15.27,12.16,11.69,15.01,14.49,12.05,11.34,10.8,10.48,10.14,9.88,8.99,8.53,8.27,7.75,7.69,7.33,6.99,6.72,6.71,6.72,5.9,5.88,5.83,,
RWA,employment_agri_total,89.17,89.03,88.96,89.0,89.09,88.92,88.8,88.77,88.75,88.56,88.24,87.71,87.02,86.14,85.16,84.14,83.09,81.87,80.72,79.45,78.09,76.61,72.9,68.45,66.95,65.82,64.62,63.35,62.29,,
SAU,employment_agri_total,7.86,7.66,7.45,7.25,7.06,6.87,6.68,6.46,6.26,6.12,6.03,4.66,4.49,4.31,4.15,3.98,4.29,4.29,4.06,4.16,4.26,4.36,4.45,5.26,6.1,4.97,3.56,2.52,2.41,,
SDN,employment_agri_total,53.32,53.22,53.15,53.07,52.94,52.73,52.47,52.22,51.95,51.55,51.11,50.64,50.11,49.62,49.04,48.37,47.59,46.88,46.19,45.68,44.6,43.64,42.83,42.11,41.25,40.37,39.52,38.95,38.37,,
SEN,employment_agri_total,48.91,48.84,48.74,48.64,48.36,48.15,47.85,47.36,46.78,46.32,45.63,45.1,44.17,43.25,42.34,41.62,40.7,39.84,39.07,38.19,37.4,36.39,35.49,34.35,33.33,32.49,31.62,30.83,30.1,,
SGP,employment_agri_total,0.28,0.32,0.24,0.3,0.24,0.19,0.18,0.18,0.17,0.16,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.08,0.06,0.06,0.06,0.03,,
SLB,employment_agri_total,52.41,52.1,52.03,51.32,51.1,50.68,50.87,50.13,50.06,51.21,49.96,51.86,52.33,51.5,49.42,48.24,47.66,45.96,46.13,45.55,43.51,42.47,41.63,40.97,40.09,39.48,38.76,37.91,37.26,,
SLE,employment_agri_total,71.88,72.1,71.9,71.77,71.85,71.58,71.61,71.29,71.2,70.65,70.96,69.67,69.01,68.46,68.14,67.68,66.81,65.98,65.19,64.16,62.97,61.17,59.16,57.65,58.06,57.03,56.14,55.36,54.49,,
SLV,employment_agri_total,28.52,27.95,27.6,27.21,26.6,26.3,25.92,25.08,22.14,21.61,21.8,19.75,18.24,19.13,19.99,18.86,18.02,18.69,20.91,20.78,21.6,20.97,19.59,18.76,18.11,18.68,18.58,16.71,16.29,,
SMR,employment_agri_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM,employment_agri_total,82.96,83.1,83.05,83.33,83.29,83.18,83.3,83.27,83.23,83.18,83.1,82.98,82.84,82.72,82.58,82.46,82.29,82.15,82.0,81.84,81.68,81.57,81.43,81.26,81.02,80.82,80.69,80.49,80.28,,
SRB,employment_agri_total,29.46,30.0,30.7,30.53,29.6,29.13,28.53,28.03,28.31,27.39,26.43,25.28,24.5,24.05,23.32,20.54,20.81,25.05,23.87,22.34,21.22,20.97,21.29,19.86,19.41,18.61,17.22,15.93,15.61,,
SSD,employment_agri_total,67.46,67.21,66.95,66.75,66.51,66.31,66.06,65.94,65.85,65.66,65.39,65.1,64.76,64.53,64.23,63.85,63.41,63.08,63.09,62.78,62.53,62.29,61.05,61.08,61.79,61.84,61.66,60.84,60.38,,
STP,employment_agri_total,33.7,33.58,33.43,33.21,32.97,32.7,32.41,32.01,31.55,31.15,30.58,30.0,29.21,29.31,27.91,27.03,26.48,25.65,25.12,24.39,23.76,23.2,22.54,21.83,21.24,20.66,20.1,19.61,19.14,,
